EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
28.05.1900,1876-1914,550,"Miss E C Johnson, The Head Mistress","St Stephen's Girls School, Quaker St, Spitalfields E","Johnson, E C",St Stephen's Girls School,London,Elementary ,Voluntary ,Church of England ,24,,https://biodiversitylibrary.org/page/55370945,
28.05.1900,1876-1914,550,"J A Denton, The Head Teacher","Hurst Hill Board School, Deepfields, Bilston","Denton, J A",Hurst Hill Board School,Bilston,Elementary ,Board,,24,Deepfields Station L.N.W Rail,https://biodiversitylibrary.org/page/55370945,
28.05.1900,1876-1914,550,"J H Goreham, The Head Teacher","Quay Side Mixed School, Norwich","Goreham, J H",Quay Side Mixed School,Norwich,Elementary ,Board,,24,Ackd 4.6.00,https://biodiversitylibrary.org/page/55370945,
28.05.1900,1876-1914,550,"Miss L Damel, The Head Mistress","National Girls School, St Heliers, Jersey","Damel, L",National Girls School,Jersey,Elementary ,Board,,23,Ackd 4.6.00,https://biodiversitylibrary.org/page/55370945,
28.05.1900,1876-1914,550,"W R Cock Esq, The Head Master","St John's School, Devoran, RSC, Cornwall","Cock, W R",St John's School,Devoran,Elementary ,Voluntary ,Church of England ,23,Ackd 2.6.00,https://biodiversitylibrary.org/page/55370945,
28.05.1900,1876-1914,550,"Miss Murray, The Head Mistress","The Howard School, Ackworth, Pontefract",Murray,The Howard School,Pontefract,Elementary ,Board,,23,,https://biodiversitylibrary.org/page/55370945,
28.05.1900,1876-1914,550,"Miss A Mizen, The Head Mistress","Girls Dept Schools for the Blind, St George's Fields, Southwark SE","Mizen, A",School for the Indigent Blind,London,Elementary ,SEN,,23,Ackd 31.5.00,https://biodiversitylibrary.org/page/55370945,
28.05.1900,1876-1914,551,"James Whitehead, the Chief Clerk","School Board ND of Todmorden, Roomfield, Todmorden","Whitehead, James",School Board ND of Todmorden,Todmorden,,Board,,21,Ackd 1.6.00,https://biodiversitylibrary.org/page/55370946,
28.05.1900,1876-1914,551,"A Mortimer, The Head Teacher","Board School, N Finchley","Mortimer, A",Board School,London,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/55370946,
28.05.1900,1876-1914,551,"A Cooper Esq, The Head Teacher","Hartismere Union Schools, Wortham House, Diss, Norfolk","Cooper, A",Hartismere Union Schools,Diss,Elementary ,Union,,20,,https://biodiversitylibrary.org/page/55370946,
28.05.1900,1876-1914,551,"J Irving Esq, The Head Master","St Mary & John's School, Charles Street, Oxford","Irving, J",St Mary and John's School,Oxford,Elementary ,Voluntary ,Church of England ,21,Ackd 31.5.00,https://biodiversitylibrary.org/page/55370946,
28.05.1900,1876-1914,551,"W Harrison Catterall Esq, The Head Master","Rokeby School, Barnard Castle","Catterall, Harrison W",Rokeby School,Rokeby,Elementary ,Voluntary ,Church of England ,20,Ackd 31.5.00,https://biodiversitylibrary.org/page/55370946,
28.05.1900,1876-1914,551,"Miss E Bick, The Head Mistress","Acton Lane Board School, Harlesden, Willesden","Bick, E",Acton Lane Board School,London,Elementary ,Board,,19,Ackd 1.6.00,https://biodiversitylibrary.org/page/55370946,
28.05.1900,1876-1914,552,"John Hollingsworth Esq, The Head Master","Abbey Boys School, Daventry, Northampton","Hollingsworth, John",Abbey Boys School,Northampton,Secondary ,Board,,20,,https://biodiversitylibrary.org/page/55370947,
28.05.1900,1876-1914,552,"Miss A McCoy, The Head Mistress","St Anne's Junior School, Bradford, Yorks","McCoy, A",St Anne's Junior School,Bradford,Elementary ,Voluntary ,Roman Catholic ,21,Ackd 31.5.00,https://biodiversitylibrary.org/page/55370947,
31.05.1900,1876-1914,552,Mr Williams,"London School Board Store Yard, Hyde Park",Williams,London School Board,London,,Board,,203,c/o The Superintendent,https://biodiversitylibrary.org/page/55370947,
13.12.1900,1876-1914,553,"Mr L H Allen, The Head Master","Board School, Elmhurst Road, Forest Gate, E","Allen, L H",Board School,London,Elementary ,Board,,22,Ackd 18.12.00,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,553,"Mr A P Bateman, The Head Master","Two Mile Hill Board School, Kingswood, Bristol","Bateman, A P",Two Mile Hill Board School,Bristol,Elementary ,Board,,21,Ackd 18.12.00,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,553,"Mr Edward Little, The Head Master","Nugget Street Mutual Improvement Society's School, Oldham, Lancs","Little, Edward",Mutual Improvement Society's School,Oldham,Elementary ,Guild,Wesleyan,21,,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,553,"Miss M Matthews, The Head Mistress","Fratton School, Portsmouth, Hants","Matthews, M",Fratton School,Portsmouth,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,553,"Miss Kindley, The Head Mistress","All Saints School, Elton, Bury, Lancs",Kindley,All Saints School,Bury,Elementary ,Voluntary ,Church of England ,21,Mixed school Ackd by M A Bradshaw (mistress) & T Pye (master) 24.12.00,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,553,"Miss M J Deed, The Head Mistress","Alma Road Girls Board School, St Albans","Deed, M J",Alma Road Girls Board School,St Albans,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,553,"Mr A Alpe, The Head Master","British School, Gt Yarmouth","Alpe, A",British School,Great Yarmouth,Elementary ,Voluntary ,Church of England ,20,Ackd 27.12.00,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,553,"Mr W J Fell, The Head Master","Board School, Claydon, Suffolk","Fell, W J",Board School,Claydon,Elementary ,Board,,19,,https://biodiversitylibrary.org/page/55370948,
13.12.1900,1876-1914,554,"Sister Mary Oswald, The Head Mistress","Homer Row RC Girls School, Marylebone Rd W","Oswald, Mary",Homer Row RC Girls School,London,Elementary ,Voluntary ,Roman Catholic ,18,Ackd 17.12.00,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,554,"Miss S Thompson, The Head Teacher","St James School, Twickenham","Thompson, S",St James School,London,Elementary ,Voluntary ,Roman Catholic ,20,,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,554,"Mr J Cooke, The Head Master","Endowed School, Drax, Yorkshire","Cooke, J",Endowed School,Drax,Elementary ,Charity ,,18,,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,554,The Sister,"St Cuthbert's School, Crook, Co Durham",,St Cuthbert's School,Crook,Elementary ,Voluntary ,Roman Catholic ,19,Ackd 17.12.00,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,554,"Mr Walter Jackson, The Head Master","Crag School, Windhill, Shipley, Yorks","Jackson, Walter",Crag School,Shipley,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,554,"Miss A Newman, The Head Mistress","Beckton Road Girls School, Canning Town","Newman, A",Beckton Road Girls School,London,Elementary ,Board,,20,Ackd by Miss M Collin 15.12.00,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,554,"Mr E W Johnson, The Head Master","Westcott Schools, Dorking","Johnson, E W",Westcott Schools,Dorking,Elementary ,Voluntary ,Church of England ,20,Ackd 18.12.00,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,554,"Miss M A Lodge, The Head Mistress","New Infant School, Carlton School Board, Barnsley","Lodge, M A",New Infant School,Barnsley,Infant,Board,,19,Ackd 17.1.01,https://biodiversitylibrary.org/page/55370949,
13.12.1900,1876-1914,555,Mr S Knowles,"Yardley Redhill Board School, Birmingham","Knowles, S",Yardley Redhill Board School,Birmingham,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/55370950,
13.12.1900,1876-1914,555,"Miss G M Wise, The Science Mistress","High School for Girls, Norwich","Wise, G M",High School for Girls,Norwich,Secondary ,Private,,20,,https://biodiversitylibrary.org/page/55370950,
13.12.1900,1876-1914,555,"Mr C Broughton, The Head Master","Donington School, Spalding","Broughton, C",Donington School,Spalding,Elementary ,Voluntary ,Church of England ,21,"Ackd 18.12.00 by Mr G W Marsh, Cowley's School, Donington",https://biodiversitylibrary.org/page/55370950,
13.12.1900,1876-1914,555,"Mr Arthur O'Neill, The Head Master","St Josephs School, 36 Harold Street, Camberwell SE","O'Neill, Arthur",St Joseph's School,London,Elementary ,Voluntary ,Roman Catholic ,21,"This parcel was returned, present address of Mr O'Neill unknown",https://biodiversitylibrary.org/page/55370950,
19.12.1900,1876-1914,555,"Mrs Arber, The Head Mistress","Girls Board Schools, Haverhill",Arber,Girls Board Schools,Haverhill,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/55370950,
13.05.1901,1876-1914,568,Miss Ada E Hutchings,"Queen's College, 43&45 Harley St W","Hutchings, Ada E",Queen's College,London,Secondary ,Private,,2,Ackd 16.5.01,https://biodiversitylibrary.org/page/55370963,
05.06.1901,1876-1914,591,Miss E Payne,"Church Schools, Sudbury, Suffolk","Payne, E",Church Schools,Sudbury,Elementary ,Voluntary ,Church of England ,50,,https://biodiversitylibrary.org/page/55370986,
05.06.1901,1876-1914,591,W R Jones Esq,"Board School, Harmondsworth, Slough","Jones, W R",Board School,Slough,Elementary ,Board,,48,Ackd 17.7.01 West Drayton Station G.W.R,https://biodiversitylibrary.org/page/55370986,
05.06.1901,1876-1914,591,"Miss E R Hodges, The Head Mistress","Church Street Schools, Woking, Surrey","Hodges, E R",Church Street Schools,Woking,Infant,Voluntary ,Church of England ,49,Ackd 12.6.01,https://biodiversitylibrary.org/page/55370986,
05.06.1901,1876-1914,591,"Mr J Yuill, The Head Master","Board School, Rayne, Braintree, Essex","Yuill, J",Board School,Braintree,Elementary ,Board,,47,Ackd 10.6.01 J. Mst,https://biodiversitylibrary.org/page/55370986,
05.06.1901,1876-1914,591,"Mr James Glinnane, The Head Master","St Mary's School, Acton Green, Chiswick","Glinnane, James",St Mary's School,London,Elementary ,Voluntary ,Roman Catholic ,44,,https://biodiversitylibrary.org/page/55370986,
05.06.1901,1876-1914,591,"Miss Burgess, The Head Mistress","Holy Trinity Girls School, Sittingbourne, Kent",Burgess,Holy Trinity Girls School,Sittingbourne,Elementary ,Voluntary ,Church of England ,46,Ackd 12.6.01,https://biodiversitylibrary.org/page/55370986,
05.06.1901,1876-1914,592,"Mr R Beattie, The Head Master","Astley National School, Manchester","Beattie, R",Astley National School,Manchester,Elementary ,Voluntary ,Church of England ,46,,https://biodiversitylibrary.org/page/55370987,
06.06.1901,1876-1914,592,"Mr W Crompton, The Head Master","Central Board Schools, Mexboro', via Rotherham, Yorks","Crompton, W",Central Board Schools,Rotherham,Secondary ,Board,,45,Ackd 7.6.01,https://biodiversitylibrary.org/page/55370987,
06.06.1901,1876-1914,592,"Mr J Hewitson, The Head Master","Schools, 17 Dudley Street, Bilston","Hewitson, J",Schools,Bilston,Elementary ,Board,,45,Parcel returned - no school at this address,https://biodiversitylibrary.org/page/55370987,
06.06.1901,1876-1914,592,"Mr W J Whitehouse, The Head Master","Board School, Dudley Port, Tipton, Stafford","Whitehouse, J",Board School,Stafford,Elementary ,Board,,42,Ackd 13.6.01 complained of delay and excessive carriage (1/6) J. Mst,https://biodiversitylibrary.org/page/55370987,
06.06.1901,1876-1914,592,"Mr E Ashworth, The Head Master","Central Board School, Bacup, Lancs","Ashworth, E",Central Board School,Bacup,Elementary ,Board,,41,Ackd 12.6.01,https://biodiversitylibrary.org/page/55370987,
06.06.1901,1876-1914,592,"Mrs M Brewer, The Head Mistress","St Thomas' Girls School, Preston, Lancs","Brewer, M",St Thomas' Girls School,Preston,Elementary ,Voluntary ,Church of England ,41,,https://biodiversitylibrary.org/page/55370987,
06.06.1901,1876-1914,592,"Miss E Peers, The Head Mistress","Bishop Ryder's School, Birmingham","Peers, E",Bishop Ryder's School,Birmingham,Elementary ,Voluntary ,Church of England ,41,Ackd 13.6.01,https://biodiversitylibrary.org/page/55370987,
06.06.1901,1876-1914,593,Miss A E Cruse,"Ealing Boys School, Infants Dept, South Ealing","Cruse, A E",Ealing Boys School,London,Infant,Voluntary ,Church of England ,40,Ackd 8.6.01,https://biodiversitylibrary.org/page/55370988,
06.06.1901,1876-1914,593,"Miss M E Symonds, The Head Mistress","West Tilbury School, Tilbury, LO Essex","Symonds, M E",West Tilbury School,Tilbury,Elementary ,Board,,41,,https://biodiversitylibrary.org/page/55370988,
06.06.1901,1876-1914,593,"Mr W H Michell, The Head Mistress","Grey Coat School, Plymouth","Michell, W H",Grey Coat School,Plymouth,Elementary ,Private,,42,Ackd 14.6.01,https://biodiversitylibrary.org/page/55370988,
06.06.1901,1876-1914,593,"Mr Victor T Bailey, The Head Master","St Matthew's Higher Grade Boys School, York Street, Cambridge","Bailey, Victor T",St Matthew's Higher Grade Boys School,Cambridge,Secondary ,Voluntary ,Church of England ,41,,https://biodiversitylibrary.org/page/55370988,
10.06.1901,1876-1914,593,"Miss S Suters, The Head Mistress","Girls National Schools, Haslemere","Suters, S",Girls National Schools,Haslemere,Elementary ,Voluntary ,Church of England ,39,Ackd 12.6.01,https://biodiversitylibrary.org/page/55370988,
10.06.1901,1876-1914,593,"Mr James Griffiths, The Head Master","Delamere School, Northwich","Griffiths, J",Delamere School,Northwich,Elementary ,Voluntary ,Church of England ,40,,https://biodiversitylibrary.org/page/55370988,
10.06.1901,1876-1914,593,"Mr J Turver, The Head Master","National School, Brigham, Cockermouth","Turver, J",National School,Cockermouth,Elementary ,Voluntary ,Church of England ,37,Ackd 18.6.01,https://biodiversitylibrary.org/page/55370988,
10.06.1901,1876-1914,594,"Miss A M Dore, LLA, The Head Mistress","Mixed School, Parliament Street, Stroud, Gloucs","Dore, A M",Mixed School,Stroud,Elementary ,Board,,32,Ackd 14.6.01,https://biodiversitylibrary.org/page/55370989,
10.06.1901,1876-1914,594,"Mr T Calow, The Head Master","Haughton le Skerne National School, Darlington","Calow, T",Haughton le Skerne National School,Darlington,Elementary ,Voluntary ,Church of England ,32,,https://biodiversitylibrary.org/page/55370989,
10.06.1901,1876-1914,594,"Mr A Townsend, The Head Master","Girton Endowed School, Cambridge","Townsend, A",Girton Endowed School,Cambridge,Secondary ,Endowed/Grammar ,,31,Ackd by Mr E M Eagos 27.6.01,https://biodiversitylibrary.org/page/55370989,
10.06.1901,1876-1914,594,"Miss A M Wood, The Head Mistress","Romilly Road Girls School, Barry, Glamorgan","Wood, A M",Romilly Road Girls School,Glamorgan,Elementary ,Board,,29,,https://biodiversitylibrary.org/page/55370989,
10.06.1901,1876-1914,594,"Mr A Clark, The Head Master","British School, Basinghall Sreet, Leeds","Clark, A",British School,Leeds,Elementary ,Voluntary ,Church of England ,28,,https://biodiversitylibrary.org/page/55370989,
10.06.1901,1876-1914,594,"Mr A W Forgham, The Head Master","The School House, Nettlebed, Henley on Thames","Forgham, A W",The School House,Henley-on-Thames,Elementary ,Board,,28,,https://biodiversitylibrary.org/page/55370989,
10.06.1901,1876-1914,594,"Mr J Dommett, The Head Master","Wesleyan Day Schools, Banbury, Oxford","Dommett, J",Wesleyan Day Schools,Oxford,Elementary ,Voluntary ,Wesleyan,28,Ackd by Mr Arthur Boulton 14.6.01,https://biodiversitylibrary.org/page/55370989,
10.06.1901,1876-1914,595,"Mr J D Munro, The Head Master","Thwaite Street Board School, Barrow in Furness","Munro, J D",Thwaite Street Board School,Barrow-in-Furness,Elementary ,Board,,29,Ackd 12.6.01,https://biodiversitylibrary.org/page/55370990,
10.06.1901,1876-1914,595,"Mr E Blaxill, The Head Master","School House, Great Maplestead, near Halstead, Essex","Blaxhill, E",School House,Great Maplestead,Elementary ,Voluntary ,Church of England ,27,,https://biodiversitylibrary.org/page/55370990,
10.06.1901,1876-1914,595,"Mr E Peake, The Head Master","Higher Standard Boys' School, Crooks Place, Norwich","Peake, E",Higher Standard Boys' School,Norwich,Secondary ,Board,,26,,https://biodiversitylibrary.org/page/55370990,
10.06.1901,1876-1914,595,"Mr J H Jones, The Head Master","Board School, Dinas, Glamorgan","Jones, J H",Board School,Glamorgan,Elementary ,Board,,29,,https://biodiversitylibrary.org/page/55370990,
10.06.1901,1876-1914,595,"Miss H Harman, The Head Mistress of the Schools","Convent of Mercy, Midhurst, Sussex","Harman, H",Convent of Mercy,Midhurst,Elementary ,Voluntary ,Church of England ,24,,https://biodiversitylibrary.org/page/55370990,
10.06.1901,1876-1914,595,"Miss L Barlow, The Head Mistress","Wapsend Board School, Sheffield","Barlow, L",Wapsend Board School,Sheffield,Elementary ,Board,,28,,https://biodiversitylibrary.org/page/55370990,
10.06.1901,1876-1914,595,"Mr E Fitt, The Head Master","National Schools, Eldersfield Lawn, Tewkesbury","Fitt, E",National Schools,Tewkesbury,Elementary ,Voluntary ,Church of England ,27,Ackd 21.6.01,https://biodiversitylibrary.org/page/55370990,
10.06.1901,1876-1914,596,"Mr G H Barnett, The Head Master","Ottershaw Schools, Chertsey","Barnett, G H",Ottershaw Schools,Chertsey,Elementary ,Voluntary ,Church of England ,22,Ackd 13.6.01,https://biodiversitylibrary.org/page/55370991,
10.06.1901,1876-1914,596,Mr J H Lawrence BSc The Head Master,"Clarence St Wesleyan Schools, Newcastle on Tyne","Lawrence, J H",Clarence St Wesleyan Schools,Newcastle upon Tyne,Elementary ,Voluntary ,Wesleyan,23,Ackd 14.6.01,https://biodiversitylibrary.org/page/55370991,
10.06.1901,1876-1914,596,"Mr A N Smith, BA, The Head Master","Salmstone Board School, Boys Dept, Margate","Smith, A N",Salmstone Board School,Margate,Elementary ,Board,,22,Ackd by W F Hiscock,https://biodiversitylibrary.org/page/55370991,
10.06.1901,1876-1914,596,"Mr C Wescombe, The Head Master","St Leonard's School, Tring","Wescombe, C",St Leonard's School,Tring,Elementary ,Voluntary ,Church of England ,22,Ackd 14.6.01,https://biodiversitylibrary.org/page/55370991,
10.06.1901,1876-1914,596,"W Nield Esq, The Head Master","North Street School, Barking School Board E","Nield, W",North Street School,London,Elementary ,Board,,69,Ackd 18.6.01,https://biodiversitylibrary.org/page/55370991,
13.06.1901,1876-1914,596,"Mr J Peters, The Head Master","Lathom Road School, East Ham School Board E","Peters, J",Lathom Road School,London,Elementary ,Board,,72,Ackd 19.6.01,https://biodiversitylibrary.org/page/55370991,
28.11.1901,1876-1914,8,"Miss M Jennings LLA, The Head Mistress","Stroud Green, Girls' School, Finsbury Park","Jennings, M",Girls' School,London,Elementary ,Board,,21,1/340,https://biodiversitylibrary.org/page/57407523,
28.11.1901,1876-1914,8,"Miss Bertha E V Slaughter, The Head Mistress","Edburton School, Beeding RSO, Sussex. Bramber Station LB&SC Rlwy","Slaughter, Bertha E V",Edburton School,Beeding,Elementary ,Voluntary ,Church of England ,24,2/341,https://biodiversitylibrary.org/page/57407523,
28.11.1901,1876-1914,9,"Mr Geo A Taylor, TheHead Master","St Peters School, Thanet, Kent","Taylor, George A",St Peter's School,Broadstairs,Elementary ,Voluntary ,Church of England ,23,3/350,https://biodiversitylibrary.org/page/57407524,
28.11.1901,1876-1914,9,"Mr W S Reynolds, The Head Master","Central Board School, Linthwaite, Yorkshire","Reynolds, W S",Central Board School,Linthwaite,Elementary ,Board,,23,4/351,https://biodiversitylibrary.org/page/57407524,
28.11.1901,1876-1914,9,"Rev B Natter OSB, The Manager","St Mary's Abbey Schools, Buckfast, Buckfastleigh, Devon","Natter, B, Reverend",St Mary's Abbey Schools,Buckfastleigh,Elementary ,Voluntary ,Roman Catholic ,22,5/352 Ack by Manager G Mellitus Hanley Dec 3rd 1901,https://biodiversitylibrary.org/page/57407524,
28.11.1901,1876-1914,9,The Head Mistress,"St Joseph's School, 2 Cavendish Street, Sheffield",,St Joseph's School,Sheffield,Elementary ,Voluntary ,Roman Catholic ,21,6/353 Ack Dec 7th 1901,https://biodiversitylibrary.org/page/57407524,
28.11.1901,1876-1914,9,"Mr S Pyper (Assistant), The Head Master","Cridling Stubbs Schools, Knottingley, Yorks","Pyper, S",Cridling Stubbs Schools,Knottingley,Elementary ,Voluntary ,Wesleyan ,21,7/354,https://biodiversitylibrary.org/page/57407524,
28.11.1901,1876-1914,10,"Miss Jane E Blore, The Head Mistress","Dudding Hill Board School, Willesden Green NW","Blore, Jane E",Dudding Hill Board School,London,Elementary ,Board,,21,9/355 Ack Dec 4th 1901,https://biodiversitylibrary.org/page/57407525,
28.11.1901,1876-1914,10,"Miss Annie Penn, The Head Mistress","Shipley Girls' School, Horsham","Penn, Annie",Shipley Girls' School,Horsham,Secondary ,Endowed/grammar ,,21,9/357 Ack Dec 3rd 01,https://biodiversitylibrary.org/page/57407525,
28.11.1901,1876-1914,10,"Miss M E Comber LLA, The Head Mistress","Campsbourne School (Girls' Dept), Hornsey","Comber, M E",Campsbourne Board School,London,Elementary ,Board,,21,10/358 Ack Dec 3rd 01,https://biodiversitylibrary.org/page/57407525,
28.11.1901,1876-1914,10,"Miss M Evangelist, The Head Mistress","Johnson St Girls' School, Commercial Rd  E","Evangelist, M",Johnson St Girls' School,London,Elementary ,Board,,21,11/359 Ack Dec 10th 1901,https://biodiversitylibrary.org/page/57407525,
28.11.1901,1876-1914,10,"Mr J Chorton, The Head Master","Bradpole Schools, Bridport","Chorton, J",Bradpole Schools,Bridport,Elementary ,Voluntary ,Church of England ,21,12/360 Ack Dec 10th 1901,https://biodiversitylibrary.org/page/57407525,
28.11.1901,1876-1914,10,"Mr A A Bristowe, per N G The Head Master","Campsbourne Bd School (Boys' Dept), Hornsey","Bristowe, A A",Campsbourne Board School,London,Elementary ,Board,,21,13/361,https://biodiversitylibrary.org/page/57407525,
28.11.1901,1876-1914,11,"Mr J Chapman, The Head Master","Beddington Central School, Croydon, Surrey","Chapman, J",Beddington Central School,Croydon,Elementary ,Board,,21,14/362,https://biodiversitylibrary.org/page/57407526,
28.11.1901,1876-1914,11,"Mr M H Watkin, The Head Master","National School, Newfield, Willington RSO, Co Durham","Watkin, M H",National School,Willington,Elementary ,Voluntary ,Church of England ,21,15/363,https://biodiversitylibrary.org/page/57407526,
28.11.1901,1876-1914,11,"Mr Geo Herbert Watson, The Head Master","Sonning School, Reading, Berks","Watson, Geo Herbert",Sonning School,Reading,Elementary ,Voluntary ,Church of England ,21,16/364 Ack by H W Harries Dec 3rd 1901,https://biodiversitylibrary.org/page/57407526,
28.11.1901,1876-1914,11,"Mr Saml H Harvey, The Head Master","National Boys' New School, Gt Harwood, Blackburn","Harvey, Samuel H",National Boys' New School,Blackburn,Elementary ,Voluntary ,Church of England ,21,17/365 Ack Dec 7th 1901,https://biodiversitylibrary.org/page/57407526,
28.11.1901,1876-1914,11,"Miss Hannah Osborne, The Head Mistress","Woodcocks' Well School, Mow Cop, Stoke on Trent","Osborne, Hannah",Woodcocks' Well School,Stoke-on-Trent,Elementary ,Voluntary ,Church of England ,23,18/366,https://biodiversitylibrary.org/page/57407526,
28.11.1901,1876-1914,12,"Mr H Ingram, The Head Master","National School, Leigh, Reigate","Ingram, H",National School,Reigate,Elementary ,Voluntary ,Church of England ,22,19/367 Ack Dec 4th 1901,https://biodiversitylibrary.org/page/57407527,
28.11.1901,1876-1914,12,Rev C Leteux The Manager,"The Schools, Hemsworth, Nr Wakefield","Leteux, C, Reverend",The Schools,Wakefield,Elementary ,Voluntary,,21,20/368,https://biodiversitylibrary.org/page/57407527,
03.12.1901,1876-1914,12,"Mr N A Milton, The Head Master","Grove St Board School, Deptford S E","Milton, N A",Grove St Board School,London,Elementary ,Board,,34,21/328,https://biodiversitylibrary.org/page/57407527,
03.12.1901,1876-1914,12,"Miss L M Stevens, The Head Mistress","Sydney St Board School (Girls), Folkestone","Stevens, L M",Sydney St Board School,Folkestone,Elementary ,Board,,23,22/369 Ack Dec 4th 1901,https://biodiversitylibrary.org/page/57407527,
03.12.1901,1876-1914,13,"Miss Annie E Hodder, The Head Mistress","Marsh St. School (Board), Walthamstow","Hodder, Annie E",Marsh St. School Board,London,Elementary ,Board,,23,23/371 Ack By E Clarke Dec 7th 1901,https://biodiversitylibrary.org/page/57407528,
03.12.1901,1876-1914,13,"Miss E Fuller, The Head Mistress","St Mary's Girls School, Greenhithe","Fuller, E",St Mary's Girls School,Greenhithe,Elementary ,Voluntary ,Church of England ,23,24/372 Ack Dec 6th 1901,https://biodiversitylibrary.org/page/57407528,
03.12.1901,1876-1914,13,"Miss A Nicholls, The Head Mistress","St Mary's RC School, Penzance","Nicholls, A",St Mary's RC School,Penzance,Elementary ,Voluntary ,Roman Catholic ,23,25/373,https://biodiversitylibrary.org/page/57407528,
03.12.1901,1876-1914,13,"Miss V S Everson, The Head Mistress","Victoria Infants Board School, Watford","Everson, V S",Victoria Infants Board School,Watford,Infant,Board,,22,26/374 Ack By S Veale Dec 10th 1901,https://biodiversitylibrary.org/page/57407528,
03.12.1901,1876-1914,13,"Mr A R Crisp, The Head Master","Portman Chapel School, East Street W","Crisp, A R",Portman Chapel School,London,Elementary ,Voluntary ,Church of England ,22,27/375 Ack Dec 4th 1901,https://biodiversitylibrary.org/page/57407528,
03.12.1901,1876-1914,13,"Mrs E J Waring, the Principal","Collegiate School for Girls, Welland Terrace, Spalding","Waring, E J",Collegiate School for Girls,Spalding,Secondary ,Private,,22,28/376,https://biodiversitylibrary.org/page/57407528,
03.12.1901,1876-1914,14,The Head Mistress,"Infant School, Wellesley Road, West Croydon",,Infant School,Croydon,Infant,Voluntary ,Church of England ,23,29/377 Ack Dec 10th 1901,https://biodiversitylibrary.org/page/57407529,
03.12.1901,1876-1914,14,"Mr A P Smith, The Head Master ","Royal Victoria School, Tunbridge Wells","Smith, A P",Royal Victoria School,Tunbridge Wells,Elementary ,Voluntary ,Church of England ,22,30/378 Ack Dec 6th 1901,https://biodiversitylibrary.org/page/57407529,
03.12.1901,1876-1914,14,"Miss Edith H Rose, The Head Mistress","St Barnabas' Girls School, City Road, Bristol","Rose, Edith H",St Barnabas' Girls School,Bristol,Elementary ,Voluntary ,Church of England ,22,31/380 Ack By Miss Pidgeon Dec 4th 1901,https://biodiversitylibrary.org/page/57407529,
03.12.1901,1876-1914,14,"Mr N Leicester, The Head Master","The Grammar School, Swansea","Leicester, N",The Grammar School,Swansea,Secondary ,Endowed/grammar ,,22,32/381,https://biodiversitylibrary.org/page/57407529,
03.12.1901,1876-1914,14,"Miss Rosa Baines, The Head Mistress","Wood Street Girls School (Board), Walthamstow","Baines, Rosa",Wood Street Girls School (Board),London,Elementary ,Board,,21,33/382,https://biodiversitylibrary.org/page/57407529,
03.12.1901,1876-1914,14,"Mr N U Devonshire, The Head Master","All Saints Nat Schools, Putney Bridge Road, Wandsworth, SW","Devonshire, N U",All Saints National Schools,London,Elementary ,Voluntary ,Church of England ,22,34/383 Ack Dec 4th. 1901. ,https://biodiversitylibrary.org/page/57407529,
03.12.1901,1876-1914,15,"Mr W Frank Philips, The Head Master","Corerack School Board St Keverne RSO, Cornwall","Philips, W Frank",Corerack School Board,St Keverne,Elementary ,Board,,22,35/384 Ack Dec 7th. 1901. ,https://biodiversitylibrary.org/page/57407530,
03.12.1901,1876-1914,15,"Miss P A Lee, The Head Mistress","Heston School Board, Hounslow Heath School (Girls) Hounslow","Lee, P A",Heston School Board,Hounslow,Elementary ,Board,,22,36/395,https://biodiversitylibrary.org/page/57407530,
03.12.1901,1876-1914,15,"Mr Thos Slatford, The Head Master","Church St Boys School, (Board), Littlehampton","Slatford, Thomas",Church St Boys School,Littlehampton,Elementary ,Board,,23,37/386 Ack Dec 6th 1901,https://biodiversitylibrary.org/page/57407530,
