EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
13.10.1909,1876-1914,91,The Head Master,"Mixed Dept, Brookfield St Anne's School, Chester Rd, South Highgate N",,Brookfield St Anne's School,London,Elementary ,Voluntary,Church of England ,21,,https://biodiversitylibrary.org/page/57407606,
13.10.1909,1876-1914,92,The Head Master,"Parkgate Rd Boys School, Watford",,Parkgate Road Boys School,Watford,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/57407607,
13.10.1909,1876-1914,92,The Head Mistress,"Prince Edwin St Wesleyan Schools, Liverpool",,Prince Edwin St Wesleyan Schools,Liverpool,Elementary ,Voluntary,Wesleyan ,21,,https://biodiversitylibrary.org/page/57407607,
13.10.1909,1876-1914,92,The Head Mistress,"The Ladies College, Harrogate",,The Ladies' College,Harrogate,Secondary ,Private,,21,,https://biodiversitylibrary.org/page/57407607,
13.10.1909,1876-1914,92,The Head Master,"Thatto Heath Council School, St Helens",,Thatto Heath Council School,St Helens,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/57407607,
13.10.1909,1876-1914,92,The Head Master,"Brynaerau Council School, Pontlyfni, Carnarvon",,Brynaerau Council School,Pontllyfni,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/57407607,
13.10.1909,1876-1914,92,The Head Teacher,"Hilda Rd Girls School, Canning Town E",,Hilda Road Girls School,London,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/57407607,
13.10.1909,1876-1914,92,The Superioress,"Convent of Poor Clares, Ballyjamesduff, Co Cavan",,Convent of Poor Clares,Ballyjamesduff,Elementary ,Voluntary,Roman Catholic ,21,Ack 20.X.09,https://biodiversitylibrary.org/page/57407607,
13.10.1909,1876-1914,93,The Head Mistress,"Infants Dept, The School House, Sandy, Beds",,The School House,Sandy,Infant,Unknown,,21,,https://biodiversitylibrary.org/page/57407608,
13.10.1909,1876-1914,93,The Head Teacher,"St Oswalds School, Wrekenton, Gateshead",,St Oswald's School,Gateshead,Elementary ,Voluntary,Roman Catholic ,21,,https://biodiversitylibrary.org/page/57407608,
13.10.1909,1876-1914,93,The Head Master,"Morriston County School (Boys Dept), Nr Swansea, Glamorganshire",,Morriston County School,Swansea,Elementary ,Board,,21,,https://biodiversitylibrary.org/page/57407608,
13.10.1909,1876-1914,93,The Head Mistress,"Victoria Girls School, Penarth",,Victoria Girls School,Penarth,Elementary ,Board,,21,Ack 20.X.09,https://biodiversitylibrary.org/page/57407608,
14.10.1909,1876-1914,94,"Miss Foster, Head Mistress","County School for Girls, Parkshot, Richmond",Foster,County School for Girls,London,Secondary ,Board,,54,,https://biodiversitylibrary.org/page/57407609,
11.11.1909,1876-1914,94,The Head Mistress (M E Curtis),"Chater Schools, Harwoods Rd, Watford","Curtis, M E",Chater Schools,Watford,Elementary ,Board,,25,,https://biodiversitylibrary.org/page/57407609,
11.11.1909,1876-1914,94,The Head Master (J F Beetlestone),"Glentham School, Glentham, Lincoln","Beetlestone, J F",Glentham School,Lincoln,Elementary ,Board,,25,,https://biodiversitylibrary.org/page/57407609,
31.03.1910,1876-1914,100,F A Maddock,"Handicraft Centre, Fossdene Rd School, Victoria Rd, Charlton SE","Maddock, F A",Fossdene Road School,London,Elementary ,Board,,20,"Ack with thanks by F A Maddock 5/4/10 56 Swallowfield Rd, Charlton, Kent",https://biodiversitylibrary.org/page/57407615,
24.10.1910,1876-1914,106,Fred G Morris Esq,"Maynard Road Council School, Walthamstow","Morris, Fred G",Maynard Road Council School,London,Elementary ,Board,,33,Ack 26.X.10,https://biodiversitylibrary.org/page/57407621,
24.10.1910,1876-1914,106,Miss Amy Seed,"The School, Scholes, Cleckheaton","Seed, Amy",The School,Cleckheaton,Elementary ,Board,,24,,https://biodiversitylibrary.org/page/57407621,
14.11.1910,1876-1914,114,Prof H Pabisch,"Wien VI, Grasgasse 5, Austria","Pabisch, Heinrich, Professor",Handelsschule,Vienna,Secondary ,Private,,4,,https://biodiversitylibrary.org/page/57407629,
04.01.1911,1876-1914,115,A C Forbes,"Avondale Forestry School, Rathdrum, Co Wicklow","Forbes, Arthur C",Avondale Forestry Station,Rathdrum,Secondary ,Technical/vocational ,,40,For detailed list see Forestry Cover,https://biodiversitylibrary.org/page/57407632,
21.02.1911,1876-1914,118,C P Hoyle,"The Oliver Goldsmith School, Peckham Rd, Camberwell","Hoyle, C P",Oliver Goldsmith School,London,Secondary ,Technical/vocational ,,30,,https://biodiversitylibrary.org/page/57407635,
21.02.1911,1876-1914,118,"J A Barber, Head Mistress","Winn's Avenue Girls School, Walthamstow","Barber, J A",Winn's Avenue Girls School,London,Elementary ,Board,,30,,https://biodiversitylibrary.org/page/57407635,
21.02.1911,1876-1914,119,"J B Cuthbert, Head Master","The Public School, Kirkcowan, Wigtownshire","Cuthbert, J B",The Public School,Kirkcowan,Elementary ,Board,,30,,https://biodiversitylibrary.org/page/57407636,
21.02.1911,1876-1914,119,"John Evan Jenkins, Head Master","Oxford St (C of E) School, Swansea","Jenkins, John Evan",Oxford St (Church of England) School,Swansea,Elementary ,Voluntary,Church of England ,30,,https://biodiversitylibrary.org/page/57407636,
28.02.1911,1876-1914,119,"J Clark, Clerk to the School Board of Glasgow","16 Royal Exchange Square, Glasgow","Clark, J",School Board of Glasgow,Glasgow,,Board,,440,Ten sets (about 440 specimens) of the following subjects. With this exception [*Jute] all were Japanese or Manchurian products,https://biodiversitylibrary.org/page/57407636,
28.02.1911,1876-1914,120,"James G Legge, Director of Education","Education Offices, 14 Sir Thomas Street, Liverpool","Legge, James G","Education Offices, Liverpool",Liverpool,,Board,,440,,https://biodiversitylibrary.org/page/57407637,
28.02.1911,1876-1914,120,"John J Jackson, Director of Education","Education Offices, City Hall, Cardiff","Jackson, John L","City Hall, Cardiff",Cardiff,,Board,,240,,https://biodiversitylibrary.org/page/57407637,
01.03.1911,1876-1914,121,"John Arthur Palmer, Secretary to the Birmingham Education Committee","Education Dept, Edmund St, Birmingham","Palmer, John Arthur",Birmingham Education Committee,Birmingham,,Board,,440,,https://biodiversitylibrary.org/page/57407638,
06.03.1911,1876-1914,121,"Miss Foster, Head Mistress","County School for Girls, Parkshot, Richmond",Foster,County School for Girls,London,Secondary ,Board,,60,,https://biodiversitylibrary.org/page/57407638,
